crop,model,kdd,delta_log_yield
orz,monotonic,11.207793454670572,-0.0008741667017189286
orz,monotonic,12.40826014781394,-0.0008741667017189286
orz,monotonic,13.608726840957306,-0.0008741667017189286
orz,monotonic,14.809193534100675,-0.0008741667017189286
orz,monotonic,16.009660227244044,-0.0008741667017189286
orz,monotonic,17.21012692038741,-0.019783022604124324
orz,monotonic,18.41059361353078,-0.019783022604124324
orz,monotonic,19.611060306674148,-0.019783022604124324
orz,monotonic,20.811526999817517,-0.02073668057110733
orz,monotonic,22.011993692960885,-0.02167260973810534
orz,monotonic,23.21246038610425,-0.02167260973810534
orz,monotonic,24.41292707924762,-0.02167260973810534
orz,monotonic,25.61339377239099,-0.02167260973810534
orz,monotonic,26.813860465534354,-0.02167260973810534
orz,monotonic,28.014327158677723,-0.02355322929683615
orz,monotonic,29.214793851821092,-0.04071270799078257
orz,monotonic,30.41526054496446,-0.08073449602696327
orz,monotonic,31.61572723810783,-0.09263323421495646
orz,monotonic,32.8161939312512,-0.12452268919537633
orz,monotonic,34.01666062439456,-0.12452268919537633
orz,monotonic,35.21712731753793,-0.13230601133906247
orz,monotonic,36.4175940106813,-0.13230601133906247
orz,monotonic,37.61806070382467,-0.13230601133906247
orz,monotonic,38.81852739696804,-0.13230601133906247
orz,monotonic,40.018994090111406,-0.13230601133906247
orz,monotonic,41.219460783254775,-0.13230601133906247
orz,monotonic,42.41992747639814,-0.13230601133906247
orz,monotonic,43.62039416954151,-0.13230601133906247
orz,monotonic,44.820860862684874,-0.13230601133906247
orz,monotonic,46.02132755582824,-0.13230601133906247
orz,monotonic,47.22179424897161,-0.13230601133906247
porumb,unconstrained,0.40299686467380563,0.0
porumb,unconstrained,1.6035152008184754,0.007725673309912973
porumb,unconstrained,2.8040335369631455,0.017691803814430297
porumb,unconstrained,4.004551873107815,0.019690943777713354
porumb,unconstrained,5.205070209252485,0.02036420548557184
porumb,unconstrained,6.405588545397155,0.02009271298319354
porumb,unconstrained,7.606106881541824,0.021952851067547602
porumb,unconstrained,8.806625217686495,0.020251127921726286
porumb,unconstrained,10.007143553831165,0.014214818662750149
porumb,unconstrained,11.207661889975835,0.01184010381133358
porumb,unconstrained,12.408180226120505,0.01184010381133358
porumb,unconstrained,13.608698562265175,0.025135664584799707
porumb,unconstrained,14.809216898409844,0.025980512431723
porumb,unconstrained,16.009735234554512,0.025980512431723
porumb,unconstrained,17.210253570699184,0.025980512431723
porumb,unconstrained,18.410771906843856,-0.015981663825321738
porumb,unconstrained,19.611290242988524,-0.014511936496768687
porumb,unconstrained,20.811808579133192,-0.014511936496768687
porumb,unconstrained,22.012326915277864,-0.023027531751476257
porumb,unconstrained,23.212845251422532,-0.03585413224265655
porumb,unconstrained,24.413363587567204,-0.03585413224265655
porumb,unconstrained,25.613881923711872,-0.04013277556681642
porumb,unconstrained,26.814400259856544,-0.048135155234235956
porumb,unconstrained,28.014918596001213,-0.0435650925676515
porumb,unconstrained,29.21543693214588,-0.0435650925676515
porumb,unconstrained,30.415955268290553,-0.1084253453180304
porumb,unconstrained,31.61647360443522,-0.1084253453180304
porumb,unconstrained,32.81699194057989,-0.17332363130513406
porumb,unconstrained,34.01751027672456,-0.3587030904967529
porumb,unconstrained,35.218028612869226,-0.3587030904967529
porumb,unconstrained,36.4185469490139,-0.3587030904967529
porumb,unconstrained,37.61906528515857,-0.3587030904967529
porumb,unconstrained,38.81958362130324,-0.3587030904967529
porumb,unconstrained,40.020101957447906,-0.36434013632694456
porumb,unconstrained,41.220620293592575,-0.5589067307678358
porumb,unconstrained,42.42113862973725,-0.5589067307678358
porumb,unconstrained,43.62165696588192,-0.5589067307678358
porumb,unconstrained,44.82217530202659,-0.5589067307678358
porumb,unconstrained,46.022693638171255,-0.5589067307678358
porumb,unconstrained,47.22321197431593,-0.5589067307678358
porumb,monotonic,0.40299686467380563,0.0
porumb,monotonic,1.6035152008184754,0.0
porumb,monotonic,2.8040335369631455,-0.0007895811773903499
porumb,monotonic,4.004551873107815,-0.009335701074761657
porumb,monotonic,5.205070209252485,-0.009335701074761657
porumb,monotonic,6.405588545397155,-0.01078436498114449
porumb,monotonic,7.606106881541824,-0.01078436498114449
porumb,monotonic,8.806625217686495,-0.010962800527029012
porumb,monotonic,10.007143553831165,-0.014938756899924549
porumb,monotonic,11.207661889975835,-0.014938756899924549
porumb,monotonic,12.408180226120505,-0.01686976179313483
porumb,monotonic,13.608698562265175,-0.01686976179313483
porumb,monotonic,14.809216898409844,-0.01944324906113647
porumb,monotonic,16.009735234554512,-0.01944324906113647
porumb,monotonic,17.210253570699184,-0.01944324906113647
porumb,monotonic,18.410771906843856,-0.06801047648876969
porumb,monotonic,19.611290242988524,-0.06801047648876969
porumb,monotonic,20.811808579133192,-0.06801047648876969
porumb,monotonic,22.012326915277864,-0.09869537390415116
porumb,monotonic,23.212845251422532,-0.1158183939563442
porumb,monotonic,24.413363587567204,-0.11639430307586472
porumb,monotonic,25.613881923711872,-0.12782621588709844
porumb,monotonic,26.814400259856544,-0.1477634028529742
porumb,monotonic,28.014918596001213,-0.1477634028529742
porumb,monotonic,29.21543693214588,-0.1477634028529742
